HECoS_Code,HECoS_Label,CAH3_Code,CAH3_Label,CAH2_Code,CAH2_Label,CAH1_Code,CAH1_Label
100918,museum studies,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
100919,publicity studies,24-01-02,publicity studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100920,television studies,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100921,radio studies,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100922,paper-based media studies,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100923,television production,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100924,radio production,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100925,publishing,24-01-03,publishing,24-01,"media, journalism and communications",24,"media, journalism and communications"
100926,electronic publishing,24-01-03,publishing,24-01,"media, journalism and communications",24,"media, journalism and communications"
100927,online publishing,24-01-03,publishing,24-01,"media, journalism and communications",24,"media, journalism and communications"
100932,plant biochemistry,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100936,animal health,06-01-01,animal science,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100937,animal physiology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100938,veterinary pathology,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100939,veterinary pharmacology,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100940,animal nutrition,06-01-01,animal science,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100941,veterinary pharmacy,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100942,veterinary public health,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100945,crop protection,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100946,crop nutrition,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100947,crop production,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100948,biomolecular science,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100949,biophysical science,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100950,occupational psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
100952,developmental psychology,04-01-03,developmental psychology,04-01,psychology,04,psychology
100953,child psychology,04-01-03,developmental psychology,04-01,psychology,04,psychology
100954,business psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
100956,programming,11-01-04,software engineering,11-01,computing,11,computing
100958,psychology of ageing,04-01-05,others in psychology,04-01,psychology,04,psychology
100959,research methods in psychology,04-01-05,others in psychology,04-01,psychology,04,psychology
100960,object-oriented programming,11-01-04,software engineering,11-01,computing,11,computing
100961,natural language processing,11-01-05,artificial intelligence,11-01,computing,11,computing
100962,research skills,23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
100963,knowledge and information systems,11-01-03,information systems,11-01,computing,11,computing
100966,neural computing,11-01-05,artificial intelligence,11-01,computing,11,computing
100968,computer vision,11-01-05,artificial intelligence,11-01,computing,11,computing
100970,applied linguistics,19-01-07,linguistics,19-01,English studies,19,language and area studies
100971,phonetics and phonology,19-01-07,linguistics,19-01,English studies,19,language and area studies
100972,phonetics,19-01-07,linguistics,19-01,English studies,19,language and area studies
100973,phonology,19-01-07,linguistics,19-01,English studies,19,language and area studies
100974,livestock,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100976,aquaculture,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100977,rural estate management,06-01-04,rural estate management,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100978,farm management,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100979,game keeping management,06-01-04,rural estate management,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100985,health psychology,04-01-04,psychology and health,04-01,psychology,04,psychology
100986,water resource management,26-01-04,environmental sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100989,cognitive modelling,11-01-05,artificial intelligence,11-01,computing,11,computing
100990,land management for recreation,06-01-04,rural estate management,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100992,machine learning,11-01-05,artificial intelligence,11-01,computing,11,computing
100993,cognitive psychology,04-01-05,others in psychology,04-01,psychology,04,psychology
100994,health informatics,11-01-03,information systems,11-01,computing,11,computing
100998,sustainable agriculture and landscape development,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101001,international agriculture,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101003,psychology of religion,04-01-05,others in psychology,04-01,psychology,04,psychology
101004,organic farming,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101006,agricultural technology,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101010,agricultural machinery,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101013,timber engineering,10-01-10,others in engineering,10-01,engineering,10,engineering and technology
101014,community forestry,06-01-05,forestry and arboriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101016,sociolinguistics,19-01-07,linguistics,19-01,English studies,19,language and area studies
101017,food and beverage studies,06-01-06,food and beverage studies (non-specific),06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101018,food safety,06-01-08,food and beverage production,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101019,computer games graphics,11-01-06,computer games and animation,11-01,computing,11,computing
101020,computer games programming,11-01-06,computer games and animation,11-01,computing,11,computing
101021,baking technology management,06-01-08,food and beverage production,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101022,brewing,06-01-08,food and beverage production,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101024,agricultural chemistry,06-01-02,agricultural sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101025,agricultural botany,06-01-02,agricultural sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101027,numerical analysis,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
101028,engineering and industrial mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
101029,computational mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
101030,applied statistics,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
101031,medical statistics,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
101032,probability,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
101033,stochastic processes,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
101034,statistical modelling,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
101035,psycholinguistics,19-01-07,linguistics,19-01,English studies,19,language and area studies
101037,comparative literary studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101038,applied chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101040,risk management,17-01-04,management studies,17-01,business and management,17,business and management
101041,industrial chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101042,colour chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101043,inorganic chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101044,crystallography,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101045,environmental chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101046,marine chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101048,environmental risk,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
101049,health risk,17-01-05,human resource management,17-01,business and management,17,business and management
101050,physical chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101053,polymer chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101054,oil and gas chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
101056,remote sensing,26-01-05,others in geographical studies,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101058,mapping science,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101060,applied physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101061,engineering physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101064,geomorphology,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101065,maritime geography,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101067,soil science,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101068,atmospheric physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101070,climate change,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101071,computational physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101072,pollution control,26-01-04,environmental sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101073,hydrography,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101074,radiation physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101075,photonics and optical physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101076,laser physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101077,nuclear and particle physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101078,applied environmental sciences,26-01-04,environmental sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101079,hydrology,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101081,volcanology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101082,geological hazards,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101083,geochemistry,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101084,exploration geophysics,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101085,specialist teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
101086,geological oceanography,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101087,special needs teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
101088,research and study skills in education,22-01-01,education,22-01,education and teaching,22,education and teaching
101089,hydrogeology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101090,study skills,23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101091,quaternary studies,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101093,exploration geology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101094,English literature 1200 - 1700,19-01-03,literature in English,19-01,English studies,19,language and area studies
101095,English literature 1700 - 1900,19-01-03,literature in English,19-01,English studies,19,language and area studies
101102,space science,07-01-02,astronomy,07-01,physics and astronomy,07,physical sciences
101103,planetary science,07-01-02,astronomy,07-01,physics and astronomy,07,physical sciences
101104,applied geology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101105,petroleum geology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101106,engineering geology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101107,Shakespeare studies,19-01-04,studies of specific authors,19-01,English studies,19,language and area studies
101108,colonial and post-colonial literature,19-01-03,literature in English,19-01,English studies,19,language and area studies
101109,English as a second language,19-01-02,English language,19-01,English studies,19,language and area studies
101111,Scottish literature,19-01-03,literature in English,19-01,English studies,19,language and area studies
101112,ancient Middle Eastern languages,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101113,ancient Egyptian studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101114,classical Arabic,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101115,Sanskrit studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101117,ancient Hebrew language,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101118,Celtic studies,19-02-01,Celtic studies (non-specific),19-02,Celtic studies,19,language and area studies
101120,Gaelic language,19-02-02,Gaelic studies,19-02,Celtic studies,19,language and area studies
101121,Irish language,19-02-04,others in Celtic studies,19-02,Celtic studies,19,language and area studies
101124,Latin studies,20-01-05,classics,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101125,Latin literature,20-01-05,classics,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101126,classical Greek studies,20-01-05,classics,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101129,classical reception,20-01-05,classics,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101130,translation studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101132,French literature,19-04-01,French studies,19-04,languages and area studies,19,language and area studies
101133,French society and culture,19-04-01,French studies,19-04,languages and area studies,19,language and area studies
101134,German literature,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101135,German society and culture,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101136,Italian society and culture,19-04-03,Italian studies,19-04,languages and area studies,19,language and area studies
101137,Italian literature,19-04-03,Italian studies,19-04,languages and area studies,19,language and area studies
101138,Spanish society and culture,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101139,Spanish literature,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101141,Portuguese studies,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101142,Portuguese language,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101143,Brazilian studies,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101144,Portuguese society and culture,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
101145,Scandinavian studies,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101148,Swedish language,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101149,Norwegian language,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101150,Finnish language,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101151,Russian studies,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101152,Polish studies,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101153,Polish language,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101155,Czech language,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101157,Russian literature,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101158,Russian and East European society and culture,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101159,European studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101161,Dutch studies,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
101163,Welsh literature,19-02-03,Welsh studies,19-02,Celtic studies,19,language and area studies
101164,Chinese studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101165,Chinese languages,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101166,Chinese literature,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101167,Chinese society and culture studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101168,Japanese studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101169,Japanese languages,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101170,Japanese literature,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101171,Japanese society and culture studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101172,South Asian studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101174,Hindi language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101175,Urdu language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101177,Bengali language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101179,Indian society and culture studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101180,Asian studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101184,African studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101185,African languages,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101188,African literature,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101189,African society and culture studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101190,modern Middle Eastern studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101191,modern Middle Eastern languages,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101192,Arabic languages,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101193,Persian languages,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101194,Israeli studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101195,Turkish studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101196,modern Middle Eastern literature,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101197,modern Middle Eastern society and culture studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101198,Arab society and culture studies,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101199,Latin American studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101201,Latin American literature,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101202,Latin American society and culture studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101203,North American literature studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101204,North American society and culture studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101205,Canadian studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101206,Australasian studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101207,Caribbean studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
101210,biomaterials,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
101212,Korean studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101214,cinematics,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
101215,food marketing,17-01-03,marketing,17-01,business and management,17,business and management
101216,bioelectronics,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
101217,composite materials,10-03-02,materials technology,10-03,materials and technology,10,engineering and technology
101218,forensic anthropology,15-01-04,anthropology,15-01,"sociology, social policy and anthropology",15,social sciences
101219,forensic archaeology,07-04-02,forensic and archaeological sciences,07-04,"general, applied and forensic sciences",07,physical sciences
101220,veterinary epidemiology,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
101221,enterprise and entrepreneurship,23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101222,crime scene investigation,07-04-02,forensic and archaeological sciences,07-04,"general, applied and forensic sciences",07,physical sciences
101223,condensed matter physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101233,cultural studies,15-01-06,cultural studies,15-01,"sociology, social policy and anthropology",15,social sciences
101234,nanotechnology,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
101241,music therapy,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
101243,bioengineering,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
101246,professional practice in education,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
101248,French history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101258,Thai language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101261,maritime archaeology,20-01-03,archaeology,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101267,computer games,11-01-06,computer games and animation,11-01,computing,11,computing
101268,computer games design,11-01-06,computer games and animation,11-01,computing,11,computing
101269,modern Hebrew language,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101271,East Asian studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101273,combined studies,23-01-01,"combined, general or negotiated studies",23-01,combined and general studies,23,combined and general studies
101274,general studies,23-01-01,"combined, general or negotiated studies",23-01,combined and general studies,23,combined and general studies
101275,negotiated studies,23-01-01,"combined, general or negotiated studies",23-01,combined and general studies,23,combined and general studies
101276,work placement experience (personal learning),23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101277,work-based learning,23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101278,employability skills (personal learning),23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101279,advice and guidance (personal learning),23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
101288,international studies,15-03-01,politics,15-03,politics,15,social sciences
101289,rehabilitation studies,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
101290,neurological rehabilitation,02-06-05,physiotherapy,02-06,allied health,02,subjects allied to medicine
101291,cardiovascular rehabilitation,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
101294,coaching psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
101300,quantum theory and applications,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
101307,applied social science,15-01-01,social sciences (non-specific),15-01,"sociology, social policy and anthropology",15,social sciences
101308,facilities management,17-01-04,management studies,17-01,business and management,17,business and management
101309,obstetrics and gynaecology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101311,Hungarian studies,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
101312,Czech studies,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
101315,Irish studies,19-02-04,others in Celtic studies,19-02,Celtic studies,19,language and area studies
101316,interior design and architecture,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
101317,environmental and public health,02-06-04,environmental and public health,02-06,allied health,02,subjects allied to medicine
101318,biodiversity conservation,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
101319,exercise for health,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
101320,art psychotherapy,02-06-07,"counselling, psychotherapy and occupational therapy",02-06,allied health,02,subjects allied to medicine
101322,mentorship,22-01-01,education,22-01,education and teaching,22,education and teaching
101323,dispute resolution,16-01-01,law,16-01,law,16,law
101324,orthopaedics,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101325,paediatrics,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101326,gerontology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
101327,oncology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101329,dementia studies,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
101330,ultrasound,02-05-01,medical technology,02-05,medical sciences,02,subjects allied to medicine
101331,gastroenterology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101332,drug and alcohol studies,02-06-04,environmental and public health,02-06,allied health,02,subjects allied to medicine
101333,epilepsy care,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
101334,allergy,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101335,epidemiology,02-06-04,environmental and public health,02-06,allied health,02,subjects allied to medicine
101336,anaesthesia,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101337,endocrinology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101338,diabetes,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101339,dermatology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
101340,hypnotherapy,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
101341,psychology of communication,04-01-05,others in psychology,04-01,psychology,04,psychology
101342,psychology of memory and learning,04-01-03,developmental psychology,04-01,psychology,04,psychology
101343,transpersonal psychology,04-01-05,others in psychology,04-01,psychology,04,psychology
101344,psychobiology,04-01-05,others in psychology,04-01,psychology,04,psychology
101345,evolutionary psychology,04-01-05,others in psychology,04-01,psychology,04,psychology
101347,veterinary dentistry,05-01-01,veterinary medicine and dentistry,05-01,veterinary sciences,05,veterinary sciences
101348,exotic plants and crops,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101351,atmosphere-ocean interactions,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101352,biogeography,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
101353,electrical power generation,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
101354,electrical power distribution,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
101355,cybernetics,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
101356,paper technology,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
101357,nationalism,15-03-01,politics,15-03,politics,15,social sciences
101358,development in Africa,15-01-05,development studies,15-01,"sociology, social policy and anthropology",15,social sciences
101359,development in the Americas,15-01-05,development studies,15-01,"sociology, social policy and anthropology",15,social sciences
101360,African history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
101361,creative arts and design,25-01-01,creative arts and design (non-specific),25-01,creative arts and design,25,"design, and creative and performing arts"
101362,calligraphy,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
101363,psychology of music,04-01-05,others in psychology,04-01,psychology,04,psychology
101366,Swahili and other Bantu languages,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101367,Hausa language,19-04-07,African and modern Middle Eastern studies,19-04,languages and area studies,19,language and area studies
101368,Indonesian language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101369,Vietnamese language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101371,Nepali language,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101372,South East Asian studies,19-04-06,Asian studies,19-04,languages and area studies,19,language and area studies
101373,hair and beauty sciences,03-01-09,hair and beauty sciences,03-01,biosciences,03,biological and sport sciences
101374,hair services,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
101375,spa and water-based therapies,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
101376,applied botany,03-01-05,plant sciences,03-01,biosciences,03,biological and sport sciences
101377,transcriptomics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
101378,genetic engineering,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
101379,sport technology,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
101380,metabolic biochemistry,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
101381,cognitive neuroscience,04-01-05,others in psychology,04-01,psychology,04,psychology
101382,affective neuroscience,02-05-03,biomedical sciences (non-specific),02-05,medical sciences,02,subjects allied to medicine
101383,psychometrics,04-01-02,applied psychology,04-01,psychology,04,psychology
101384,pre-clinical veterinary medicine,05-01-01,veterinary medicine and dentistry,05-01,veterinary sciences,05,veterinary sciences
101385,agricultural irrigation and drainage,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
101387,meat science,06-01-07,food sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
